org_no,org_nm,cons_no,cons_nm,cntrct_cap,data_date,0点00,0点15,0点30,0点45,1点00,1点15,1点30,1点45,2点00,2点15,2点30,2点45,3点00,3点15,3点30,3点45,4点00,4点15,4点30,4点45,5点00,5点15,5点30,5点45,6点00,6点15,6点30,6点45,7点00,7点15,7点30,7点45,8点00,8点15,8点30,8点45,9点00,9点15,9点30,9点45,10点00,10点15,10点30,10点45,11点00,11点15,11点30,11点45,12点00,12点15,12点30,12点45,13点00,13点15,13点30,13点45,14点00,14点15,14点30,14点45,15点00,15点15,15点30,15点45,16点00,16点15,16点30,16点45,17点00,17点15,17点30,17点45,18点00,18点15,18点30,18点45,19点00,19点15,19点30,19点45,20点00,20点15,20点30,20点45,21点00,21点15,21点30,21点45,22点00,22点15,22点30,22点45,23点00,23点15,23点30,23点45
4340108,国网宁乡市供电公司,3113183804,长沙昌都能源科技有限公司,27160,20210101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,1260,1680,2940,3780,5040,6300,7560,8820,10080,10920,11760,12600,13440,14280,14700,15120,15120,15540,15540,15540,15540,14700,14280,13860,13440,13020,12180,11340,10080,9240,7980,6720,5460,4620,3360,2100,1260,840,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4340108,国网宁乡市供电公司,3113183804,长沙昌都能源科技有限公司,27160,20210102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,840,1680,2940,4200,5460,6720,7980,9240,10080,11340,12180,13020,13860,14280,14700,15120,15540,15540,15540,15540,15540,15120,14700,13860,13440,12600,3780,3780,3360,2940,2100,2100,1680,1260,1260,840,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4340108,国网宁乡市供电公司,3113183804,长沙昌都能源科技有限公司,27160,20210103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,420,840,840,1260,1260,1260,1680,1680,1680,2100,2520,2940,2520,2520,3360,3780,3360,3360,3360,3360,3780,3780,3780,4620,4620,4620,5040,4620,5460,4200,5040,5460,3360,2940,2100,1260,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4340108,国网宁乡市供电公司,3113183804,长沙昌都能源科技有限公司,27160,20210104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,420,840,1260,1680,2100,2940,3780,3780,4620,5040,5460,6300,7140,7140,7980,8400,9240,9660,12600,13440,9660,8820,7560,7980,6300,5460,4200,3360,2940,2100,1680,1260,1260,840,420,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4340108,国网宁乡市供电公司,3113183804,长沙昌都能源科技有限公司,27160,20210105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,420,840,840,1260,1260,1680,1260,840,840,840,840,840,840,840,840,840,840,840,840,420,420,420,420,420,420,840,420,420,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4340108,国网宁乡市供电公司,3113183804,长沙昌都能源科技有限公司,27160,20210106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,420,420,420,840,840,840,840,1260,840,840,840,840,840,840,420,420,420,420,420,420,840,420,420,420,420,420,420,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4340108,国网宁乡市供电公司,3113183804,长沙昌都能源科技有限公司,27160,20210107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,420,840,840,840,1260,1260,1260,1680,1680,1680,1680,1680,1680,1680,1680,2100,1680,2100,2100,2100,2100,2100,2100,2100,1680,1680,1260,1260,1260,840,840,420,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4340108,国网宁乡市供电公司,3113183804,长沙昌都能源科技有限公司,27160,20210108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,1680,2940,3780,5460,6720,7980,9240,10500,11760,12600,13440,14280,15120,15540,15960,16380,16800,16800,16800,16800,16800,16380,15960,15540,14700,14280,13440,12180,11340,10500,8820,7560,6300,4620,3360,2100,1260,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4340108,国网宁乡市供电公司,3113183804,长沙昌都能源科技有限公司,27160,20210109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,840,1680,2940,4200,5460,6720,7980,9240,10500,11760,13020,13860,9240,9660,6300,6720,12180,15960,3780,4200,3780,4200,3360,3360,3780,3780,2940,2940,2940,2520,2520,2520,2520,1680,1260,840,420,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4340108,国网宁乡市供电公司,3113183804,长沙昌都能源科技有限公司,27160,20210110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,420,840,840,840,1260,1260,1680,1680,2100,2100,2100,2520,2520,2520,2940,2520,2100,2520,2100,2520,2520,2520,2100,2100,2100,2100,2100,2100,1680,1680,1260,840,840,420,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
