org_no,org_nm,tg_no,tg_nm,cap,data_date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96
4340108,国网宁乡市供电公司,0100060449,楚天科技股份有限公司,11050,20210101,1745,1610,1695,1620,1570,1480,1525,1420,1505,1420,1450,1475,1480,1355,1410,1245,1190,1115,1190,1175,1160,1110,1115,1190,1140,1150,1045,1120,1035,1130,1150,1305,1715,2250,2350,2435,2470,2530,2480,2520,2400,2485,2335,2415,2365,2460,2280,2020,1745,1925,1775,1805,1745,1775,1800,1810,1810,1885,1905,1840,1860,1870,1995,1955,2170,2130,2060,2110,2090,1940,1820,1650,1795,1935,1830,1965,1940,1985,1940,1910,1785,1805,1825,1855,1880,1885,1750,1810,1720,1765,1750,1665,1580,1530,1650,1615
4340108,国网宁乡市供电公司,0100060449,楚天科技股份有限公司,11050,20210102,1600,1605,1570,1545,1470,1485,1515,1410,1460,1305,1215,1275,1105,1185,1080,1125,1000,1095,990,1065,1145,1010,1130,1155,1125,1115,995,1055,1045,1070,1135,1245,1620,2120,2315,2475,2495,2570,2415,2515,2360,2410,2290,2195,2235,2255,2265,2105,1795,1760,1525,1550,1635,1690,1750,1810,1855,1905,1865,2040,2015,2165,2375,2405,2250,2300,2270,2245,2215,2155,1900,1645,1780,1870,1875,1895,1815,1985,1980,1910,1995,1835,1945,2080,2175,1945,1955,1830,1785,1680,1705,1535,1460,1365,1305,1465
4340108,国网宁乡市供电公司,0100060449,楚天科技股份有限公司,11050,20210103,1300,1325,1265,1215,1265,1235,1170,1155,1145,1025,1025,915,890,845,780,750,765,795,780,810,795,810,780,885,890,925,855,870,915,1005,1125,1235,1655,2235,2660,2750,2665,2995,2980,2825,2770,2675,2620,2465,2475,2325,2350,2105,1855,1965,1935,1650,1730,1670,1770,2045,1955,1970,2245,2200,2090,2165,2520,2385,2395,2105,2205,2210,2340,2120,1860,1580,1625,1675,1680,1675,1850,1985,1895,1960,1945,1960,1870,1790,1740,1745,1680,1550,1305,1375,1230,1205,1130,1020,1060,920
4340108,国网宁乡市供电公司,0100060449,楚天科技股份有限公司,11050,20210104,915,865,865,835,830,860,815,835,800,785,755,850,850,785,800,820,790,755,770,755,740,800,830,780,780,960,945,925,1005,970,995,1365,1535,1730,2110,2330,2685,2635,2820,2705,2535,2355,2560,2800,2435,2450,2350,2355,1970,2105,2175,2020,1795,2090,2185,2065,1990,2145,2080,2090,2240,2245,2315,2590,2535,2450,2450,2395,2340,2340,1960,1715,1880,2115,2050,2095,2210,2350,2075,2075,2190,2035,2350,2405,2215,2140,2155,2175,2120,2040,1985,1755,1540,1425,1510,1460
4340108,国网宁乡市供电公司,0100060449,楚天科技股份有限公司,11050,20210105,1470,1480,1440,1410,1320,1330,1300,1245,1200,1210,1240,1180,1135,1075,1060,1090,995,1055,1085,1115,1160,1190,1205,1190,1130,1225,1220,1065,1115,1105,1145,1355,1545,2105,2850,3270,3100,3040,2885,3040,3235,3210,3020,2900,2865,2890,3010,2635,2235,2220,2150,2030,2175,2065,2325,2370,2455,2260,2295,2525,2455,2550,2675,2715,2655,2865,2575,2645,2555,2535,2150,1940,2075,2305,2150,2265,2295,2175,2085,2170,2015,2295,2185,2135,2050,2030,2120,2075,1985,1870,1865,1735,1570,1420,1475,1520
4340108,国网宁乡市供电公司,0100060449,楚天科技股份有限公司,11050,20210106,1510,1350,1380,1360,1390,1190,1235,1175,1190,1155,1130,1205,1085,1055,1115,1115,1145,1115,1115,1085,1040,1055,1125,1040,1025,1005,975,1025,1020,1050,1085,1185,1605,2015,2385,2695,2730,2755,2715,2755,2695,2780,2790,2725,2955,3040,2970,2595,2205,2090,2100,2085,2085,2070,2215,2440,2620,2555,2795,2790,2690,2675,2870,2960,2830,2880,2930,2905,2685,2665,2465,2140,2260,2520,2280,2335,2460,2455,2450,2320,2315,2335,2415,2385,2290,2290,2180,2195,2150,2030,2125,1900,1665,1600,1455,1530
4340108,国网宁乡市供电公司,0100060449,楚天科技股份有限公司,11050,20210107,1465,1385,1445,1475,1445,1425,1485,1315,1345,1330,1260,1270,1240,1165,1135,1135,1060,1120,1060,1030,1030,950,1060,970,930,1035,985,930,970,1025,1095,1335,1795,2525,2930,3040,3020,3065,3120,2940,3075,3045,2870,2965,3085,2990,3025,2660,2155,2135,2190,2170,2230,2115,2375,2285,2570,2715,2580,2600,2645,2695,2540,2735,2815,2910,2905,2790,2815,2770,2305,2135,2335,2485,2490,2625,2505,2465,2475,2400,2365,2385,2400,2655,2505,2400,2340,2270,2190,2100,2095,2000,1830,1780,1880,1640
4340108,国网宁乡市供电公司,0100060449,楚天科技股份有限公司,11050,20210108,1500,1475,1475,1530,1410,1340,1340,1310,1340,1315,1320,1345,1275,1170,1275,1165,1245,1260,1205,1180,1155,1165,1245,1120,1085,1155,1200,1135,1205,1140,1235,1415,1785,2790,2885,3110,3090,3105,2970,3025,3115,2765,2725,2845,2905,3040,2990,2715,2070,2110,1980,1950,1945,2100,2240,2315,2255,2450,2430,2495,2480,2500,2670,2785,2760,2595,2630,2805,2755,2610,2315,2150,2310,2565,2480,2615,2620,2485,2590,2725,2505,2365,2240,2275,2245,2240,2200,2230,2135,2150,2075,1945,1870,1450,1540,1615
4340108,国网宁乡市供电公司,0100060449,楚天科技股份有限公司,11050,20210109,1550,1500,1480,1420,1465,1310,1320,1405,1295,1280,1310,1280,1230,1170,1100,1205,1170,1155,1065,1170,1100,1035,1080,1095,1060,1185,1150,1020,1120,1155,1170,1290,1685,2195,2335,2515,2955,2845,3105,3045,2835,3075,2765,3060,2985,2760,2925,2480,2355,2205,2210,2050,2225,2255,2250,2400,2490,2350,2630,2340,2475,2510,2680,2790,2715,2685,2535,2535,2665,2350,2025,1935,2035,2460,2210,2435,2240,2255,2235,2100,2040,2055,2085,2310,2010,2025,2235,2165,1970,2025,1915,1710,1530,1740,1450,1300
4340108,国网宁乡市供电公司,0100060449,楚天科技股份有限公司,11050,20210110,1400,1325,1220,1205,1475,1170,1150,1385,1115,995,920,875,950,900,890,1005,860,880,815,880,875,995,925,840,980,965,1170,900,1015,1000,1015,1155,1610,1825,2225,2520,2930,2785,2790,2925,2690,3040,3150,3025,3090,3030,3145,2820,2210,2170,2150,2120,2190,2250,2495,2325,2475,2500,2560,2450,2540,2425,2575,2705,2555,2605,2490,2700,2765,2490,2135,2110,2135,2540,2295,2220,2265,2160,2160,2340,2220,2120,2210,2005,2165,2100,2130,2030,1785,1680,1570,1380,1215,1230,1370,1170
4340108,国网宁乡市供电公司,0100060449,楚天科技股份有限公司,12300,20210111,1060,1245,1295,1080,1135,1205,1040,1050,1080,930,1190,890,1090,920,830,1010,830,800,800,850,830,800,935,920,900,1005,970,945,1065,1075,1070,1320,1760,1670,2265,2370,2735,2730,2840,2800,2740,2550,2710,2900,2910,2720,2790,2535,2315,2285,2215,2135,2280,2515,2200,2535,2695,2420,2410,2615,2815,2560,2780,2960,2935,2830,2590,2775,2680,2355,2315,1765,2010,2590,2350,2265,2440,2385,2375,2425,2350,2405,2505,2385,2385,2355,2390,2345,2270,2235,2095,1875,1785,1695,1645,1675
4340108,国网宁乡市供电公司,0100060449,楚天科技股份有限公司,12300,20210112,1585,1490,1450,1470,1540,1555,1500,1380,1350,1350,1360,1330,1270,1250,1260,1290,1270,1320,1365,1410,1300,1270,1240,1265,1230,1265,1170,1295,1190,1210,1325,1845,2075,2700,2675,2960,2855,2955,2895,3060,2830,2960,2990,3135,3120,2695,2710,2600,2195,2090,1960,1905,1920,2060,2200,2310,2260,2360,2280,2390,2280,2325,2375,2475,2840,2435,2315,2250,2235,2105,1815,1595,1840,2200,2435,2385,2310,2255,2175,2220,2160,2320,2330,2330,2255,2225,2075,2155,2065,1925,1980,1750,1660,1540,1550,1535
4340108,国网宁乡市供电公司,0100060449,楚天科技股份有限公司,12300,20210113,1515,1640,1515,1360.0000000000002,1400,1295,1280,1265,1160,1235,1130,1240,1225,1205,1160,1060,1100,1105,1120,1100,1115,1100,1010,1180,1325,1260,1110,990,1090,1075,1130,1310,1630,2435,2495,2590,2490,2795,2955,2860,2770,2765,2530,2565,2705,2555,2405,2260,1880,2055,1820,1555,1610,1735,1765,2095,2015,1870,2260,2065,2105,2280,2260,2525,2590,2590,2495,2275,2235,2195,1945,1610,1825,2050,2125,2150,2290,2275,2310,2225,2155,2195,2165,2150,2045,2060,2085,2200,2095,2030,2010,1715,1620,1655,1705,1530
4340108,国网宁乡市供电公司,0100060449,楚天科技股份有限公司,12300,20210114,1605,1510,1480,1340,1415,1335,1365,1355,1245,1200,1190,1160,1190,1170,1070,1040,1040,1005,1035,1020,1005,1065,1050,1055,1050,1030,995,945,950,1065,1120,1245,1620,1975,2370,2765,2845,2665,2705,2815,2740,2740,2590,2650,2590,2730,2745,2510,2090,2100,2140,1855,1935,1950,2080,2110,2155,2255,2285,2455,2330,2545,2540,2555,2635,2455,2425,2490,2605,2325,1850,1680,1900,2090,2110,2005,2135,2100,2310,2500,2390,2370,2190,2470,2195,2210,2060,2130,2030,2120,2010,1810,1640,1620,1425,1525
4340108,国网宁乡市供电公司,0100060449,楚天科技股份有限公司,12300,20210115,1510,1535,1490,1445,1370,1395,1415,1430,1445,1370,1260,1295,1200,1195,1150,1090,1185,1180,1275,1090,1080,1095,1095,1200,1130,1140,1075,1060,1150,1220,1215,1315,1510,2145,2610,2655,2865,2865,2825,2785,2745,2965,2725,2855,2790,2580,2660,2360,2150,2030,1960,1955,1885,2070,1940,2275,2190,2135,2200,2365,2325,2430,2785,3015,2225,2440,2530,2330,2490,1865,1665,1535,1680,2005,2055,2025,2205,2060,2010,2295,2040,2155,2180,2175,2175,2015,1960,2135,2120,1950,1870,1715,1495,1515,1510,1615
