"org_no","org_nm","tg_no","tg_nm","cap","data_date","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","p25","p26","p27","p28","p29","p30","p31","p32","p33","p34","p35","p36","p37","p38","p39","p40","p41","p42","p43","p44","p45","p46","p47","p48","p49","p50","p51","p52","p53","p54","p55","p56","p57","p58","p59","p60","p61","p62","p63","p64","p65","p66","p67","p68","p69","p70","p71","p72","p73","p74","p75","p76","p77","p78","p79","p80","p81","p82","p83","p84","p85","p86","p87","p88","p89","p90","p91","p92","p93","p94","p95","p96"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","120","120","120","120","120","120","0","120","0","120","120","120","0","0","0","120","0","120","120","120","0","120","0","120","120","120","120","120","0","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","400","220","220","220","220","220","220","220","220","220","220","220","220","100","0","0","120","120","120","120","120","120","0","620","320","120","120","120","120","120","520","220","320","0","120","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","0","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","0","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","0","0","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","0","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","0","120","120","0","0","120","120","120","120","120","0","0","0","0","0","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","0","0","0","120","120","120","120","120","120","120","120","120","120","0","120","0","120","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","120","120","120","120","120","120","120","120","120","0","0","120","0","0","0","0","120","0","120","0","0","0","0","120","0","0","0","0","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","120","120","120","120","120","120","120","120","120","0","0","0","120","0","0","0","0","0","0","0","0","0","120","0","120","120","0","0","0","0","120","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","120","120","120","120","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","120","120","120","0","0","120","120","0","120","0","0","120","0","0","0","0","0","120","0","0","0","0","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","120","120","120","120","120","120","120","120","120","0","120","120","120","0","0","120","120","0","120","0","120","120","0","0","120","120","120","0","120","120","120","120","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","0","120","0","120","0","120","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","120","120","120","120","120","120","120","120","0","0","0","0","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","120","120","120","0","120","0","0","120","0","0","120","0","120","0","0","120","0","0","0","0","0","0","0","0","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","0","120","120","120","120","120","120","0","120","120","120","120","120","120","120","120","120","120","120","120","120","0","0","0","0","0","0","0","120","120","120","120","0","120","120","120","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","0","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","0","0","0","0","0","0","0","0","0","0","120","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","0","120","120","0","120","120","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4340108","国网宁乡市供电公司","0100418374","湖南沃特玛新能源有限公司","24000","20210123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","0","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","0","0","120","120","120","120","120","120","120","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
