org_no,org_nm,tg_no,tg_nm,cap,data_date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,30,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,15,15,30,30,15,15,15,15,15,15,15,15,0,15,15,0,0,15,15,15,15,15,15,15,15,30,15,15,30,15,15,15,15,30,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210712,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15,0,15,15,15,30,15,15,15,15,15,15,15,15,15,15,30,30,15,0,0,0,15,15,15,15,30,30,30,30,30,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210713,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,30,15,30,15,15,0,15,15,15,15,15,15,30,15,30,15,30,15,15,15,15,15,30,15,15,15,15,15,15,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,30,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,30,15,30,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,30,15,15,15,15,30,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,30,15,30,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,15,30,15,30,15,15,15,30,15,30,15,0,15,15,15,15,30,15,30,30,15,15,15,30,30,30,30,30,30,30,30,30,15,15,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,30,15,30,15,30,30,30,30,30,15,15,15,15,15,30,15,30,30,30,15,15,30,30,30,30,30,30,30,30,30,30,15,15,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,30,30,30,30,30,30,30,30,30,30,30,30,15,15,15,15,15,30,45,45,45,45,45,45,45,45,45,60,45,45,45,30,45,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,30,30,30,15,15,15,15,15,30,30,15,15,0,15,15,15,15,15,15,30,15,15,15,15,30,30,15,15,30,15,15,15,30,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,30,30,30,30,30,30,45,30,45,30,30,30,15,15,15,15,30,30,30,30,15,30,30,30,30,30,30,30,30,30,30,30,30,30,15,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,15,15,30,30,15,30,30,30,30,30,30,30,15,30,15,15,15,15,15,15,15,15,30,30,15,30,15,15,15,30,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,30,30,30,30,30,30,30,30,45,30,30,15,15,15,15,15,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15,15,15,30,15,15,15,15,30,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,30,30,30,15,15,30,15,30,15,15,15,15,15,15,15,30,15,15,15,15,15,15,15,15,15,15,15,15,15,30,15,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,30,30,15,15,15,15,15,15,15,15,15,15,15,15,15,30,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,15,15,0,0,0,0
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210726,0,0,15,15,0,15,15,15,0,15,15,15,15,0,15,0,0,0,15,0,15,15,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,15,15,15,30,30,30,30,30,30,30,30,30,30,15,15,15,15,15,15,15,15,15,15,30,30,30,30,15,15,30,30,30,30,30,30,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210728,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,30,30,30,15,30,45,30,30,30,30,30,15,30,15,15,15,15,15,15,15,30,30,30,30,30,30,30,30,30,30,30,30,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,30,30,15,30,30,30,30,30,30,30,30,15,15,15,15,15,15,30,30,30,15,15,15,15,15,15,30,30,30,15,15,30,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,30,30,30,30,30,30,30,45,45,15,30,15,15,15,15,15,30,15,15,15,15,30,15,15,15,15,30,15,15,30,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4340208,国网株洲城东供电支公司,0200602351,湖南狐轩智能产业园,1000,20210731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,15,15,15,15,15,15,15,15,15,30,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
